Kategorie,Bild,Bearbeitung,Bewertung
Produkt,I,0.5,4
Landschaft,A,0,5
Landschaft,D,0.5,3
Produkt,I,1,5
Landschaft,C,0,4
Landschaft,E,0.5,4
Produkt,I,1.5,4
Landschaft,D,1.5,4
Landschaft,E,1,5
Produkt,J,0,3
Portrait,L,1,2
Landschaft,A,1.5,5
Produkt,J,0.5,3
Produkt,G,1.5,3
Portrait,L,1.5,3
Landschaft,E,1.5,4
Produkt,J,1,4
Produkt,H,0,5
Landschaft,C,1.5,4
Portrait,M,0,5
Landschaft,D,0,4
Produkt,F,1.5,3
Produkt,J,1.5,2
Landschaft,B,0,3
Landschaft,A,0.5,5
Produkt,H,1,4
Produkt,F,0,4
Portrait,K,0,5
Landschaft,A,1,4
Produkt,F,0.5,5
Portrait,K,0.5,3
Landschaft,C,0.5,4
Produkt,H,0.5,2
Produkt,F,1,3
Landschaft,C,1,4
Portrait,K,1,4
Produkt,H,1.5,5
Produkt,G,0,4
Portrait,K,1.5,4
Landschaft,B,1,5
Produkt,G,0.5,5
Landschaft,B,0.5,4
Landschaft,E,0,4
Portrait,L,0,4
Produkt,I,0,4
Landschaft,D,1,4
Portrait,L,0.5,2
Produkt,G,1,2
Landschaft,B,1.5,4
Portrait,O,1,3
Portrait,N,0.5,4
Portrait,O,0,4
Portrait,M,1.5,4
Portrait,N,1,4
Portrait,O,0.5,5
Portrait,N,0,4
Portrait,M,1,4
Portrait,N,1.5,3
Portrait,O,1.5,3
Portrait,M,0.5,4
